Term , Document , Weight
submitted , 525 , 1.0
submitted , 705 , 1.0
submitted , 597 , 1.0
submitted , 1195 , 1.0
submitted , 1327 , 1.0
chronicleof , 1051 , 1.0
generalize , 1030 , 1.0
generalize , 320 , 1.0
generalize , 291 , 1.0
asecond , 1318 , 1.0
asecond , 382 , 1.0
providescholarly , 17 , 1.0
conceptsderiving , 460 , 1.0
abstraction , 1459 , 1.0
microphotography , 286 , 1.0
hippie , 308 , 1.0
purchasing , 905 , 1.0
purchasing , 1023 , 1.0
purchasing , 1052 , 1.0
remarked , 1393 , 1.0
forproject , 1006 , 1.0
onorganizational , 1065 , 1.0
allcompounds , 150 , 1.0
michael , 559 , 1.0
michael , 919 , 1.0
analogous , 21 , 1.0
analogous , 1197 , 1.0
analogous , 208 , 1.0
analogous , 81 , 1.0
itsimpact , 736 , 1.0
howto , 668 , 1.0
staffs , 470 , 1.0
staffs , 365 , 1.0
staffs , 1206 , 1.0
staffs , 891 , 1.0
looks , 161 , 1.0
looks , 247 , 1.0
accommodationsand , 1211 , 1.0
firebasis , 1293 , 1.0
ranking , 89 , 2.0
ranking , 638 , 1.0
ranking , 415 , 1.0
ranking , 821 , 2.0
ranking , 1039 , 1.0
ranking , 1451 , 1.0
ranking , 1432 , 1.0
ranking , 956 , 1.0
ranking , 579 , 2.0
ranking , 756 , 1.0
ranking , 655 , 1.0
firstly , 1024 , 1.0
firstly , 784 , 1.0
firstly , 1215 , 1.0
firstly , 1351 , 1.0
irs , 180 , 1.0
dejection , 557 , 1.0
reasonableness , 634 , 1.0
postal , 162 , 1.0
ofsubsearches , 752 , 1.0
california , 197 , 1.0
california , 903 , 1.0
california , 601 , 1.0
california , 292 , 1.0
california , 364 , 1.0
california , 902 , 1.0
california , 546 , 1.0
california , 1357 , 1.0
california , 1377 , 1.0
california , 597 , 1.0
57c , 872 , 1.0
outlinecomparative , 407 , 1.0
libbeyand , 544 , 1.0
wellabandon , 1425 , 1.0
groupof , 472 , 1.0
fornumbering , 262 , 1.0
overdue , 364 , 1.0
overdue , 1441 , 1.0
mineralogy , 1276 , 1.0
allsystems , 244 , 1.0
exploit , 140 , 1.0
exploit , 594 , 1.0
onewith , 1149 , 1.0
thecountry , 1328 , 1.0
thecountry , 1147 , 1.0
precludes , 129 , 1.0
operatingsystems , 1007 , 1.0
includedas , 1419 , 1.0
includedas , 181 , 1.0
ehrlich , 1082 , 1.0
wiser , 928 , 1.0
mutilations , 1060 , 1.0
remnants , 353 , 1.0
onecould , 1321 , 1.0
eschewing , 888 , 1.0
2741 , 593 , 1.0
andtime , 1421 , 1.0
associations , 941 , 1.0
associations , 411 , 3.0
associations , 407 , 1.0
associations , 940 , 1.0
associations , 103 , 1.0
associations , 1378 , 1.0
associations , 375 , 2.0
associations , 71 , 4.0
associations , 109 , 1.0
associations , 690 , 1.0
associations , 1073 , 1.0
associations , 562 , 1.0
associations , 171 , 4.0
associations , 1239 , 1.0
associations , 272 , 1.0
associations , 566 , 1.0
supplementary , 411 , 1.0
supplementary , 429 , 1.0
supplementary , 805 , 1.0
supplementary , 725 , 1.0
supplementary , 1197 , 1.0
supplementary , 87 , 1.0
searcheswhich , 687 , 1.0
salvaged , 353 , 1.0
accident , 1232 , 1.0
overcame , 457 , 1.0
penetrate , 476 , 1.0
enquiryand , 487 , 1.0
locations , 809 , 1.0
locations , 1258 , 1.0
oftechnical , 1408 , 1.0
mechanically , 326 , 1.0
mechanically , 576 , 1.0
otherdisciplines , 114 , 1.0
beneath , 776 , 1.0
sequencesdepending , 191 , 1.0
operatemore , 497 , 1.0
physically , 85 , 1.0
thechallenges , 1022 , 1.0
conversations , 918 , 1.0
fullerdescription , 731 , 1.0
fullerdescription , 918 , 1.0
latent , 653 , 1.0
oforganizations , 1360 , 1.0
oforganizations , 788 , 1.0
calledscience , 96 , 1.0
retrieves , 479 , 1.0
retrieves , 597 , 1.0
retrieves , 603 , 1.0
polemics , 795 , 1.0
nudge , 592 , 1.0
twx , 197 , 3.0
twx , 883 , 1.0
twx , 547 , 2.0
twx , 594 , 1.0
premises , 590 , 1.0
premises , 481 , 1.0
premises , 640 , 1.0
practitioner , 1270 , 1.0
collectionof , 1028 , 1.0
ideas , 1446 , 1.0
ideas , 120 , 1.0
ideas , 1213 , 2.0
ideas , 1082 , 2.0
ideas , 1006 , 2.0
ideas , 1219 , 2.0
ideas , 1031 , 1.0
ideas , 9 , 1.0
ideas , 1346 , 1.0
ideas , 821 , 1.0
ideas , 356 , 1.0
ideas , 1237 , 1.0
ideas , 426 , 3.0
ideas , 1081 , 2.0
ideas , 76 , 1.0
ideas , 419 , 2.0
ideas , 148 , 1.0
ideas , 259 , 1.0
ideas , 923 , 2.0
ideas , 1426 , 1.0
ideas , 173 , 1.0
ideas , 554 , 1.0
ideas , 391 , 2.0
ideas , 1438 , 1.0
ideas , 1277 , 2.0
ideas , 438 , 1.0
ideas , 101 , 1.0
ideas , 359 , 1.0
ideas , 590 , 1.0
ideas , 640 , 1.0
ideas , 1348 , 1.0
ideas , 136 , 1.0
ideas , 667 , 1.0
ideas , 1291 , 1.0
linguisticmodels , 572 , 1.0
sketches , 1212 , 1.0
static , 125 , 1.0
static , 1149 , 1.0
48states , 99 , 1.0
uniformly , 191 , 1.0
justdistributing , 656 , 1.0
footnotes , 772 , 1.0
footnotes , 14 , 1.0
footnotes , 106 , 1.0
footnotes , 438 , 1.0
yardstick , 52 , 1.0
andrecommendations , 1350 , 1.0
andrecommendations , 217 , 1.0
dictionaryof , 677 , 1.0
esther , 982 , 1.0
toreduce , 500 , 1.0
biography , 16 , 1.0
periodof , 463 , 1.0
tisa , 338 , 2.0
abstractsproduces , 608 , 1.0
newark , 932 , 1.0
joining , 128 , 1.0
positiveaspects , 1111 , 1.0
particularly , 388 , 1.0
particularly , 12 , 1.0
particularly , 19 , 1.0
particularly , 44 , 1.0
particularly , 1273 , 1.0
particularly , 1246 , 1.0
particularly , 24 , 1.0
particularly , 772 , 1.0
particularly , 1256 , 1.0
particularly , 1432 , 1.0
particularly , 1318 , 1.0
particularly , 1063 , 1.0
particularly , 909 , 1.0
particularly , 408 , 1.0
particularly , 148 , 1.0
particularly , 561 , 1.0
particularly , 935 , 1.0
particularly , 1331 , 1.0
particularly , 596 , 1.0
particularly , 1048 , 1.0
particularly , 1310 , 1.0
particularly , 525 , 1.0
particularly , 760 , 1.0
particularly , 20 , 1.0
particularly , 1200 , 1.0
particularly , 1418 , 2.0
particularly , 2 , 1.0
particularly , 1005 , 1.0
particularly , 1044 , 1.0
particularly , 814 , 1.0
particularly , 462 , 1.0
particularly , 261 , 1.0
particularly , 305 , 1.0
particularly , 841 , 1.0
particularly , 1050 , 1.0
particularly , 1382 , 1.0
particularly , 1348 , 1.0
particularly , 1393 , 1.0
valueand , 865 , 1.0
wholeoperation , 797 , 1.0
used , 515 , 1.0
used , 113 , 2.0
used , 624 , 1.0
used , 193 , 3.0
used , 1389 , 2.0
used , 158 , 1.0
used , 616 , 1.0
used , 862 , 1.0
used , 697 , 2.0
used , 223 , 1.0
used , 608 , 2.0
used , 124 , 1.0
used , 84 , 1.0
used , 833 , 1.0
used , 1123 , 1.0
used , 400 , 1.0
used , 411 , 1.0
used , 1339 , 1.0
used , 678 , 1.0
used , 1430 , 1.0
used , 813 , 1.0
used , 1172 , 2.0
used , 794 , 1.0
used , 461 , 1.0
used , 1147 , 1.0
used , 62 , 2.0
used , 321 , 2.0
used , 829 , 1.0
used , 88 , 1.0
used , 598 , 1.0
used , 1261 , 1.0
used , 593 , 1.0
used , 318 , 1.0
used , 762 , 1.0
used , 469 , 1.0
used , 1219 , 1.0
used , 1060 , 1.0
used , 504 , 1.0
used , 295 , 2.0
used , 1194 , 1.0
used , 743 , 3.0
used , 269 , 2.0
used , 486 , 2.0
used , 1091 , 1.0
used , 181 , 1.0
used , 201 , 1.0
used , 44 , 1.0
used , 959 , 1.0
used , 33 , 1.0
used , 117 , 1.0
used , 650 , 1.0
used , 197 , 1.0
used , 613 , 2.0
used , 840 , 1.0
used , 739 , 1.0
used , 291 , 2.0
used , 186 , 1.0
used , 588 , 1.0
used , 212 , 2.0
used , 134 , 1.0
used , 962 , 1.0
used , 50 , 1.0
used , 1407 , 1.0
used , 679 , 1.0
used , 390 , 1.0
used , 1226 , 1.0
used , 1181 , 1.0
used , 429 , 2.0
used , 728 , 1.0
used , 325 , 1.0
used , 296 , 1.0
used , 865 , 1.0
used , 973 , 1.0
used , 816 , 3.0
used , 805 , 2.0
used , 661 , 2.0
used , 1175 , 1.0
used , 448 , 1.0
used , 754 , 1.0
used , 16 , 1.0
used , 772 , 1.0
used , 731 , 1.0
used , 553 , 1.0
used , 761 , 1.0
used , 341 , 1.0
used , 367 , 1.0
used , 5 , 3.0
used , 545 , 1.0
used , 350 , 1.0
used , 480 , 1.0
used , 72 , 1.0
used , 850 , 1.0
used , 330 , 1.0
used , 199 , 1.0
used , 665 , 1.0
used , 1189 , 1.0
used , 522 , 2.0
used , 703 , 1.0
used , 742 , 1.0
used , 890 , 2.0
used , 1066 , 1.0
used , 340 , 1.0
used , 601 , 1.0
used , 422 , 2.0
used , 1415 , 2.0
used , 1260 , 2.0
used , 533 , 1.0
used , 1419 , 1.0
used , 76 , 1.0
used , 909 , 1.0
used , 1361 , 1.0
used , 1045 , 1.0
used , 989 , 1.0
used , 628 , 1.0
used , 592 , 2.0
used , 653 , 1.0
used , 65 , 1.0
used , 71 , 2.0
used , 642 , 1.0
used , 505 , 1.0
used , 259 , 1.0
used , 945 , 3.0
used , 1024 , 1.0
used , 1325 , 1.0
used , 860 , 1.0
used , 1152 , 2.0
used , 360 , 1.0
used , 1286 , 1.0
used , 510 , 1.0
used , 1417 , 3.0
used , 636 , 1.0
used , 49 , 1.0
used , 596 , 2.0
used , 1309 , 1.0
used , 413 , 1.0
used , 788 , 1.0
used , 883 , 1.0
used , 290 , 1.0
used , 658 , 1.0
used , 208 , 1.0
used , 1185 , 1.0
used , 647 , 1.0
used , 309 , 3.0
used , 842 , 1.0
used , 1174 , 1.0
used , 1408 , 1.0
used , 1450 , 1.0
used , 184 , 2.0
used , 483 , 1.0
used , 257 , 1.0
used , 64 , 1.0
used , 961 , 1.0
used , 389 , 1.0
used , 203 , 1.0
used , 867 , 1.0
used , 75 , 1.0
used , 499 , 2.0
used , 1368 , 1.0
used , 376 , 1.0
used , 1040 , 1.0
used , 767 , 1.0
used , 354 , 1.0
used , 809 , 1.0
used , 326 , 1.0
used , 1230 , 1.0
used , 27 , 2.0
used , 1014 , 1.0
used , 210 , 2.0
used , 894 , 2.0
used , 575 , 3.0
used , 2 , 1.0
used , 810 , 1.0
used , 1292 , 1.0
used , 1381 , 1.0
used , 1044 , 1.0
used , 423 , 1.0
used , 271 , 1.0
used , 976 , 1.0
used , 282 , 1.0
used , 778 , 2.0
used , 198 , 2.0
used , 277 , 1.0
used , 738 , 1.0
used , 1330 , 2.0
used , 1019 , 2.0
used , 562 , 1.0
used , 1377 , 1.0
used , 187 , 1.0
used , 807 , 1.0
used , 395 , 1.0
used , 1355 , 1.0
used , 677 , 1.0
used , 573 , 1.0
used , 621 , 1.0
used , 427 , 1.0
used , 261 , 1.0
used , 696 , 1.0
used , 1369 , 1.0
used , 194 , 1.0
used , 838 , 1.0
used , 648 , 2.0
used , 183 , 1.0
used , 857 , 2.0
used , 1366 , 2.0
used , 97 , 2.0
used , 432 , 1.0
used , 478 , 1.0
used , 207 , 1.0
used , 793 , 2.0
used , 129 , 2.0
used , 29 , 1.0
used , 1338 , 1.0
used , 485 , 1.0
used , 651 , 1.0
used , 755 , 1.0
used , 204 , 3.0
used , 953 , 2.0
used , 1253 , 1.0
used , 420 , 1.0
used , 1322 , 1.0
used , 1097 , 1.0
used , 828 , 1.0
used , 614 , 3.0
used , 757 , 1.0
used , 841 , 1.0
used , 1032 , 1.0
used , 1090 , 1.0
used , 610 , 3.0
used , 424 , 1.0
used , 830 , 1.0
used , 693 , 1.0
used , 766 , 1.0
used , 200 , 1.0
used , 1180 , 3.0
used , 749 , 2.0
used , 709 , 1.0
used , 146 , 1.0
used , 1396 , 1.0
used , 1075 , 1.0
used , 682 , 1.0
assumethat , 1271 , 1.0
informationactivity , 1112 , 1.0
substantialminority , 655 , 1.0
observers , 917 , 1.0
bennett , 123 , 1.0
consideredto , 129 , 1.0
bothpast , 1046 , 1.0
recognizing , 908 , 1.0
recognizing , 1131 , 1.0
recognizing , 1153 , 1.0
eye , 932 , 1.0
eye , 172 , 1.0
eye , 65 , 4.0
eye , 351 , 1.0
striking , 1425 , 1.0
striking , 217 , 1.0
conceptual , 1259 , 1.0
conceptual , 646 , 1.0
conceptual , 336 , 2.0
conceptual , 306 , 1.0
conceptual , 112 , 1.0
conceptual , 1440 , 1.0
conceptual , 445 , 1.0
conceptual , 1422 , 1.0
conceptual , 234 , 1.0
conceptual , 1418 , 1.0
conceptual , 218 , 1.0
conceptual , 1188 , 1.0
conceptual , 1348 , 1.0
conceptual , 312 , 1.0
couched , 1325 , 1.0
existingform , 399 , 1.0
indication , 143 , 1.0
indication , 119 , 1.0
indication , 499 , 1.0
indication , 1294 , 1.0
librarycommunity , 1258 , 1.0
specialties , 632 , 1.0
specialties , 1313 , 1.0
minority , 308 , 1.0
minority , 957 , 1.0
andtechnical , 782 , 1.0
andtechnical , 1223 , 1.0
allowed , 800 , 1.0
allowed , 1230 , 1.0
allowed , 154 , 1.0
allowed , 495 , 1.0
98 , 851 , 1.0
automatic , 45 , 1.0
automatic , 874 , 1.0
automatic , 1267 , 1.0
automatic , 963 , 1.0
automatic , 608 , 2.0
automatic , 1224 , 1.0
automatic , 1161 , 1.0
automatic , 175 , 2.0
automatic , 421 , 1.0
automatic , 77 , 3.0
automatic , 534 , 1.0
automatic , 1409 , 1.0
automatic , 1294 , 1.0
automatic , 1323 , 1.0
automatic , 668 , 1.0
automatic , 1129 , 1.0
automatic , 769 , 1.0
automatic , 1226 , 1.0
automatic , 328 , 1.0
automatic , 516 , 1.0
automatic , 661 , 4.0
automatic , 448 , 1.0
automatic , 1421 , 2.0
automatic , 72 , 2.0
automatic , 850 , 1.0
automatic , 522 , 1.0
automatic , 1136 , 1.0
automatic , 1415 , 1.0
automatic , 498 , 1.0
automatic , 1419 , 4.0
automatic , 1045 , 1.0
automatic , 511 , 1.0
automatic , 71 , 2.0
automatic , 479 , 1.0
automatic , 676 , 1.0
automatic , 636 , 1.0
automatic , 565 , 2.0
automatic , 39 , 1.0
automatic , 180 , 1.0
automatic , 309 , 1.0
automatic , 503 , 2.0
automatic , 662 , 1.0
automatic , 315 , 6.0
automatic , 483 , 2.0
automatic , 571 , 4.0
automatic , 499 , 1.0
automatic , 1163 , 1.0
automatic , 666 , 3.0
automatic , 488 , 2.0
automatic , 564 , 4.0
automatic , 1252 , 1.0
automatic , 1044 , 1.0
automatic , 633 , 1.0
automatic , 790 , 1.0
automatic , 659 , 1.0
automatic , 531 , 1.0
automatic , 814 , 1.0
automatic , 663 , 2.0
automatic , 705 , 1.0
automatic , 489 , 3.0
automatic , 1225 , 1.0
automatic , 581 , 1.0
automatic , 824 , 1.0
automatic , 179 , 2.0
automatic , 1124 , 1.0
automatic , 150 , 1.0
automatic , 1327 , 2.0
automatic , 420 , 1.0
automatic , 715 , 1.0
automatic , 643 , 1.0
automatic , 1144 , 4.0
automatic , 830 , 4.0
automatic , 669 , 1.0
reference , 874 , 1.0
reference , 1389 , 3.0
reference , 941 , 1.0
reference , 1412 , 1.0
reference , 307 , 1.0
reference , 806 , 1.0
reference , 1340 , 1.0
reference , 1261 , 1.0
reference , 985 , 1.0
reference , 110 , 1.0
reference , 1160 , 1.0
reference , 1020 , 1.0
reference , 90 , 1.0
reference , 1071 , 1.0
reference , 870 , 1.0
reference , 1334 , 1.0
reference , 1053 , 1.0
reference , 466 , 1.0
reference , 470 , 2.0
reference , 1156 , 1.0
reference , 1017 , 3.0
reference , 303 , 4.0
reference , 765 , 1.0
reference , 1132 , 1.0
reference , 970 , 1.0
reference , 784 , 1.0
reference , 781 , 3.0
reference , 268 , 1.0
reference , 274 , 2.0
reference , 353 , 1.0
reference , 87 , 1.0
reference , 742 , 1.0
reference , 1367 , 1.0
reference , 375 , 2.0
reference , 403 , 1.0
reference , 76 , 1.0
reference , 889 , 1.0
reference , 508 , 1.0
reference , 445 , 1.0
reference , 80 , 1.0
reference , 383 , 1.0
reference , 1343 , 1.0
reference , 300 , 1.0
reference , 14 , 2.0
reference , 47 , 5.0
reference , 111 , 1.0
reference , 1275 , 1.0
reference , 344 , 1.0
reference , 819 , 1.0
reference , 405 , 4.0
reference , 879 , 1.0
reference , 1357 , 1.0
reference , 488 , 1.0
reference , 1230 , 1.0
reference , 810 , 1.0
reference , 611 , 2.0
reference , 1353 , 1.0
reference , 778 , 1.0
reference , 685 , 1.0
reference , 1349 , 2.0
reference , 1008 , 7.0
reference , 1263 , 1.0
reference , 412 , 1.0
reference , 247 , 1.0
reference , 319 , 3.0
reference , 215 , 1.0
reference , 994 , 1.0
reference , 597 , 1.0
reference , 535 , 1.0
reference , 1166 , 1.0
reference , 468 , 1.0
reference , 1094 , 1.0
reference , 755 , 1.0
reference , 1184 , 1.0
reference , 915 , 1.0
reference , 1187 , 1.0
reference , 796 , 1.0
reference , 926 , 1.0
reference , 465 , 1.0
reference , 161 , 1.0
reference , 1396 , 1.0
appliedresearch , 314 , 1.0
1965 , 113 , 1.0
1965 , 411 , 1.0
1965 , 1031 , 1.0
1965 , 1425 , 1.0
1965 , 76 , 1.0
1965 , 909 , 2.0
1965 , 978 , 1.0
1965 , 1286 , 1.0
1965 , 979 , 1.0
1965 , 126 , 1.0
1965 , 704 , 1.0
1965 , 672 , 1.0
1965 , 271 , 1.0
1965 , 789 , 1.0
1965 , 220 , 2.0
1965 , 496 , 1.0
1965 , 1090 , 1.0
1965 , 774 , 1.0
1965 , 161 , 1.0
copenhagen , 919 , 2.0
copenhagen , 996 , 1.0
copenhagen , 1435 , 1.0
teletype , 697 , 1.0
distributable , 142 , 1.0
relationshipto , 585 , 1.0
relationshipto , 1313 , 1.0
3400biomedical , 506 , 1.0
toconstruct , 357 , 1.0
toconstruct , 1066 , 1.0
widely , 89 , 1.0
widely , 1430 , 1.0
widely , 896 , 1.0
widely , 504 , 1.0
widely , 486 , 1.0
widely , 588 , 1.0
widely , 123 , 1.0
widely , 639 , 1.0
widely , 1181 , 1.0
widely , 1028 , 1.0
widely , 1380 , 1.0
widely , 1034 , 1.0
widely , 340 , 1.0
widely , 76 , 1.0
widely , 259 , 1.0
widely , 1331 , 1.0
widely , 912 , 1.0
widely , 391 , 1.0
widely , 102 , 1.0
widely , 641 , 1.0
widely , 266 , 1.0
widely , 831 , 1.0
widely , 1044 , 1.0
widely , 294 , 1.0
widely , 793 , 1.0
fieldsploughed , 400 , 1.0
secretary , 251 , 3.0
secretary , 541 , 1.0
fascicule , 803 , 1.0
manipulative , 44 , 1.0
researches , 202 , 1.0
theobjective , 205 , 1.0
theobjective , 606 , 1.0
e , 563 , 1.0
e , 1389 , 1.0
e , 689 , 1.0
e , 1224 , 1.0
e , 19 , 1.0
e , 265 , 1.0
e , 552 , 1.0
e , 702 , 1.0
e , 1261 , 2.0
e , 1431 , 1.0
e , 1060 , 1.0
e , 1154 , 1.0
e , 104 , 1.0
e , 466 , 1.0
e , 329 , 1.0
e , 1407 , 1.0
e , 907 , 1.0
e , 728 , 1.0
e , 1391 , 1.0
e , 233 , 1.0
e , 330 , 1.0
e , 634 , 1.0
e , 1451 , 1.0
e , 631 , 1.0
e , 572 , 2.0
e , 1415 , 3.0
e , 1260 , 1.0
e , 1361 , 1.0
e , 826 , 2.0
e , 1024 , 1.0
e , 636 , 2.0
e , 979 , 1.0
e , 1099 , 1.0
e , 1448 , 1.0
e , 745 , 2.0
e , 1185 , 2.0
e , 151 , 1.0
e , 842 , 1.0
e , 145 , 1.0
e , 477 , 1.0
e , 1244 , 1.0
e , 666 , 1.0
e , 109 , 1.0
e , 641 , 1.0
e , 277 , 1.0
e , 235 , 1.0
e , 594 , 1.0
e , 1369 , 1.0
e , 581 , 2.0
e , 129 , 1.0
e , 590 , 1.0
e , 722 , 1.0
e , 1054 , 2.0
e , 243 , 1.0
e , 797 , 1.0
e , 893 , 1.0
e , 28 , 1.0
e , 157 , 1.0
e , 749 , 1.0
e , 752 , 1.0
termconcern , 1445 , 1.0
cataoguing , 1435 , 1.0
workbook , 692 , 1.0
workbook , 432 , 1.0
degradation , 1025 , 1.0
degradation , 971 , 2.0
conversion , 993 , 1.0
conversion , 668 , 1.0
conversion , 848 , 1.0
conversion , 888 , 1.0
conversion , 1079 , 1.0
conversion , 601 , 1.0
conversion , 921 , 1.0
conversion , 704 , 1.0
conversion , 701 , 1.0
conversion , 853 , 1.0
conversion , 897 , 1.0
conversion , 299 , 1.0
appropriatesearch , 606 , 1.0
compacting , 1194 , 1.0
bulletin56 , 223 , 1.0
workshop , 598 , 2.0
workshop , 546 , 4.0
typewriter , 1026 , 1.0
typewriter , 675 , 2.0
typewriter , 1252 , 2.0
theyule , 1418 , 1.0
opinions , 147 , 1.0
opinions , 929 , 1.0
opinions , 269 , 1.0
opinions , 795 , 1.0
opinions , 958 , 1.0
opinions , 1019 , 1.0
opinions , 143 , 1.0
opinions , 342 , 1.0
opinions , 626 , 1.0
parallelsamerica , 94 , 1.0
thestudent , 1067 , 1.0
shelves , 90 , 1.0
shelves , 262 , 1.0
shelves , 816 , 1.0
shelves , 264 , 1.0
shelves , 257 , 1.0
shelves , 92 , 1.0
andloss , 934 , 1.0
significantly , 822 , 1.0
significantly , 1273 , 1.0
significantly , 1407 , 1.0
significantly , 16 , 1.0
significantly , 873 , 1.0
significantly , 202 , 1.0
significantly , 701 , 1.0
significantly , 86 , 1.0
significantly , 633 , 2.0
significantly , 220 , 1.0
significantly , 632 , 1.0
pragmatical , 1077 , 1.0
beensteadily , 383 , 1.0
inefficiency , 771 , 1.0
offsetting , 457 , 1.0
areasof , 123 , 1.0
sie , 807 , 2.0
sie , 1356 , 1.0
onmachine , 439 , 1.0
providing , 169 , 1.0
providing , 1401 , 1.0
providing , 885 , 1.0
providing , 84 , 1.0
providing , 1339 , 1.0
providing , 813 , 1.0
providing , 4 , 1.0
providing , 378 , 1.0
providing , 373 , 1.0
providing , 504 , 1.0
providing , 295 , 1.0
providing , 1071 , 1.0
providing , 1397 , 1.0
providing , 186 , 1.0
providing , 512 , 1.0
providing , 68 , 3.0
providing , 94 , 1.0
providing , 43 , 1.0
providing , 252 , 1.0
providing , 636 , 4.0
providing , 17 , 1.0
providing , 47 , 2.0
providing , 245 , 1.0
providing , 879 , 1.0
providing , 53 , 1.0
providing , 1449 , 1.0
providing , 376 , 1.0
providing , 357 , 1.0
providing , 1418 , 1.0
providing , 1230 , 1.0
providing , 937 , 1.0
providing , 1239 , 1.0
providing , 637 , 1.0
providing , 207 , 1.0
providing , 150 , 1.0
providing , 305 , 1.0
providing , 841 , 1.0
providing , 465 , 1.0
providing , 529 , 1.0
providing , 1396 , 1.0
thetest , 810 , 1.0
altogether , 807 , 1.0
altogether , 651 , 1.0
writing , 1262 , 1.0
writing , 8 , 1.0
writing , 1202 , 1.0
writing , 139 , 1.0
writing , 407 , 1.0
writing , 928 , 1.0
writing , 177 , 1.0
writing , 805 , 1.0
writing , 315 , 1.0
writing , 1403 , 3.0
writing , 1124 , 1.0
writing , 226 , 1.0
writing , 1032 , 1.0
writing , 1374 , 1.0
offrequencies , 1416 , 1.0
improvingthe , 472 , 1.0
synthetic , 1164 , 2.0
synthetic , 676 , 1.0
synthetic , 1292 , 1.0
synthetic , 1162 , 2.0
mlle , 541 , 2.0
chemicalstructures , 708 , 1.0
chemicalstructures , 668 , 1.0
chemicalstructures , 669 , 1.0
retrievalproblems , 114 , 1.0
funny , 944 , 1.0
buildingsand , 264 , 1.0
ofman , 1262 , 1.0
twoparts , 331 , 1.0
recipient , 1077 , 1.0
recipient , 403 , 1.0
recipient , 1037 , 1.0
practicaltreatment , 969 , 1.0
uoi , 145 , 1.0
fashion , 1188 , 1.0
fashion , 259 , 1.0
fashion , 226 , 1.0
millionto , 371 , 1.0
theapplication , 600 , 1.0
opinionrather , 373 , 1.0
observethat , 1456 , 1.0
ofcloseness , 660 , 1.0
conviction , 1042 , 1.0
conviction , 557 , 1.0
conviction , 508 , 1.0
growingwider , 308 , 1.0
workwhich , 889 , 1.0
explore , 743 , 1.0
explore , 244 , 1.0
explore , 1427 , 1.0
explore , 387 , 1.0
explore , 148 , 1.0
explore , 202 , 1.0
explore , 248 , 1.0
explore , 82 , 1.0
explore , 140 , 1.0
explore , 1146 , 1.0
explore , 1410 , 1.0
explore , 982 , 1.0
explore , 640 , 1.0
precis , 1024 , 2.0
precis , 1230 , 2.0
precis , 1215 , 2.0
precis , 825 , 3.0
prognosticationsconcerning , 33 , 1.0
organizationalstructures , 435 , 1.0
organizationalstructures , 936 , 1.0
organizationalstructures , 1345 , 1.0
somerespects , 825 , 1.0
machine_readable , 990 , 1.0
thedomain , 1209 , 1.0
notsimply , 173 , 1.0
thancomputer , 1371 , 1.0
accommodate , 593 , 1.0
